代號,公司,資本額(億)
4413,飛寶,3.13
4414,如興,90.34
4415,台原藥,4.36
4416,三圓,6.0
4417,金洲,8.4
4419,元勝,3.26
4420,光明,4.05
4426,利勤,16.11
4429,聚紡,3.44
4430,耀億,5.63
4432,銘旺實,5.06
4433,興采,4.58
4438,廣越,10.34
4502,源恆,4.98
4503,金雨,3.93
4506,崇友,17.7
4510,高鋒,10.8
4513,福裕,7.69
4523,永彰,6.4
4526,東台,25.48
4527,方土霖,7.62
4528,江興,7.65
4529,淳紳,8.3
4530,宏易創新,4.62
4532,瑞智,50.6
4533,協易機,15.84
4534,慶騰,8.92
4535,至興,7.57
4536,拓凱,9.08
4538,大詠城,4.76
4540,全球傳動,9.67
4541,晟田,6.95
4542,科嶠,2.83
4543,萬在,5.7
4545,銘鈺,7.7
4549,桓達,4.24
4550,長佳,3.71
4551,智伸科,8.19
4552,力達-KY,11.6
4554,橙的,2.14
4555,氣立,6.69
4556,旭然,4.17
4557,永新-KY,3.98
4560,強信-KY,6.67
4561,健椿,5.85
4562,穎漢,6.75
4563,百德,4.5
4564,元翎,17.78
4566,時碩工業,6.67
4568,科際精密,3.03
4571,鈞興-KY,4.76
4572,駐龍,3.58
4576,大銀微系統,11.79
4609,唐鋒,4.79
4702,中美實,22.5
4706,大恭,7.9
4707,磐亞,28.66
4711,永純,6.11
4712,南璋,6.57
4714,永捷,10.28
4716,大立高,7.52
4720,德淵,8.86
4721,美琪瑪,7.5
4722,國精化,10.0
4725,信昌化,29.2
4726,永昕,12.8
4728,雙美,5.45
4729,熒茂,10.47
4735,豪展,3.34
4736,泰博,8.22
4737,華廣,5.95
4739,康普,9.3
4741,泓瀚,3.28
4743,合一,36.0
4744,皇將,4.68
4745,合富-KY,7.38
4746,台耀,9.9
4747,強生,3.0
4754,國碳科,1.88
4755,三福,9.07
4760,勤凱,2.95
4763,材料-KY,5.11
4764,雙鍵,7.68
4766,南寶,12.06
4767,誠泰科技,3.14
4803,VHQ-KY,3.94
4804,大略-KY,4.47
4806,昇華,4.2
4807,日成-KY,3.85
4903,聯光通,9.03
4904,遠傳,325.85
4905,台聯電,3.75
4906,正文,35.69
4907,富宇,11.81
4908,前鼎,7.82
4909,新復興,9.34
4911,德英,5.57
4912,聯德-KY,4.75
4915,致伸,44.68
4916,事欣科,8.23
4919,新唐,28.76
4924,欣厚-KY,3.72
4927,泰鼎-KY,18.88
4930,燦星網,13.43
4931,新盛力,6.2
4933,友輝,7.8
4934,太極,33.15
4935,茂林-KY,13.09
4938,和碩,261.14
4939,亞電,9.82
4942,嘉彰,14.24
